pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,sy_dist,label
2.64594828,7.91263,12.0,6634.0,1.98054,1.39,528.025,1.0
20.98296043,7.91263,12.0,4822.0,0.739921,0.781,366.941,1.0
1.5271792,7.91263,12.0,5359.0,0.899453,0.93,559.822,1.0
7.8392,1.46,12.0,5659.0,1.115,0.88,187.222,1.0
9.2048,7.91263,12.0,11886.0,3.61562,3.165,155.751,0.0
2.32046168,7.91263,12.0,5659.0,1.08,0.88,170.111,1.0
2.320937,15.7,12.0,5659.0,1.157,0.88,170.111,1.0
1.94297,2.571,12.0,3197.0,0.436,0.486,143.701,1.0
1.3178719,62.0,12.0,5659.0,1.975,0.88,552.872,0.0
1.3179,55.0,12.0,5876.0,1.07,0.88,552.872,0.0
0.2338108,7.91263,12.0,5659.0,1.08,0.88,264.78,1.0
1.1488,7.91263,12.0,3429.0,0.984957,0.418,144.086,0.0
46.38363,3.22,12.0,5659.0,0.762,0.88,116.189,1.0
46.40651,3.35,12.0,4812.0,0.73,0.88,116.189,1.0
16.56127,0.957,12.0,5659.0,0.258,0.88,81.38137,1.0
16.563155,1.66,12.0,3669.0,0.48,0.88,81.38137,1.0
18.357773,1.74,12.0,4937.0,0.75,0.88,337.993,1.0
18.3647,2.61,12.0,5659.0,1.22,0.88,337.993,1.0
21.9184,3.18,12.0,5659.0,0.72,0.88,293.873,1.0
49.8558,3.29,12.0,5659.0,1.359,0.88,166.757,1.0
4.9818921,2.66,12.0,5849.0,1.04,0.88,211.632,1.0
4.98049071,7.91263,12.0,5234.0,1.13733,0.893,211.632,1.0
4.981838,2.39347065,12.0,5774.0,0.978267,0.88,211.632,1.0
4.98205,2.3,12.0,5594.0,1.01,0.88,211.632,1.0
4.9815,2.39,12.0,5659.0,0.92,0.88,211.632,1.0
3.3055191,1.27,12.0,3430.0,0.35,0.88,91.0366,1.0
3.30524,6.6,12.0,5659.0,1.79,0.88,91.0366,1.0
1.8361,7.91263,12.0,5659.0,1.08,0.88,264.78,0.0
14.5444413,7.91263,12.0,5659.0,1.08,0.88,264.78,1.0
4.30221683,7.91263,12.0,7168.62,4.08069,1.6,684.616,1.0
8.02678456,7.91263,12.0,4708.46,5.5996,0.88,933.196,0.0
8.0241306,4.42,12.0,3939.0,0.58,0.88,933.196,0.0
8.02415,194.0,12.0,4734.0,6.1,0.88,933.196,0.0
8.02335,86.0,12.0,5659.0,5.13,0.88,933.196,0.0
11.31028,18.9,12.0,5659.0,1.44,0.88,843.771,1.0
11.31009,130.0,12.0,4793.0,10.0,0.88,843.771,1.0
16.63311,44.0,12.0,5700.0,2.19,0.88,233.887,1.0
16.63237,10.7,12.0,3648.0,0.47,0.88,233.887,1.0
16.63091654,7.91263,12.0,5121.0,1.27372,0.862,233.887,1.0
1.057171,1.51,12.0,5659.0,1.004,0.88,265.263,1.0
4.377326,27.0,12.0,5928.0,1.43,0.88,476.35,0.0
4.37983009,7.91263,12.0,5982.0,1.60152,1.1,476.35,0.0
4.377339,31.9,12.0,5659.0,1.691,0.88,476.35,0.0
4.3772986,16.6,12.0,5102.0,0.78,0.88,476.35,0.0
0.980414,1.58,12.0,4202.0,0.66,0.88,157.823,1.0
0.98036126,1.44,12.0,3932.0,0.58,0.88,157.823,1.0
0.97988263,7.91263,12.0,4063.0,0.701061,0.664242,157.823,1.0
0.980294,1.81,12.0,5659.0,0.685,0.88,157.823,1.0
14.2005,2.36,12.0,5659.0,0.786,0.88,219.312,1.0
28.8077,2.08,12.0,5659.0,0.215,0.88,97.068,1.0
3.75927,68.0,12.0,5659.0,10.7,0.88,272.331,1.0
2.41628,2.68,12.0,5659.0,1.01,0.88,271.855,1.0
2.4165066,0.988,12.0,3483.0,0.38,0.88,271.855,1.0
4.4984354,3.12,12.0,4309.0,0.66,0.88,533.784,1.0
0.3938505,13.7,12.0,5659.0,2.16,0.88,1418.18,1.0
2.3240489,33.4,12.0,5107.0,0.78,0.88,223.184,1.0
1.86732,0.648,12.0,5659.0,0.693,0.88,103.821,1.0
22.9735,2.61,12.0,5659.0,1.067,0.88,289.569,1.0
5.6683,7.91263,12.0,3521.0,0.956267,0.471,128.81,0.0
14.658196,1.6,12.0,3610.0,0.45,0.88,45.7725,1.0
14.65835,1.12,12.0,5659.0,0.339,0.88,45.7725,1.0
6.4349,2.47,12.0,5659.0,1.493,0.88,381.071,1.0
4.27065,7.6,12.0,5659.0,1.5,0.88,49.5536,1.0
7.64309,8.0,12.0,5659.0,1.5,0.88,49.5536,1.0
16.858,5.6,12.0,5957.0,1.07,0.88,314.232,1.0
2.167697,12.14,12.0,5659.0,2.489,0.88,715.205,1.0
19.2299,1.96,12.0,5659.0,0.612,0.88,143.287,1.0
5.07152,3.2,12.0,5659.0,0.426,0.88,129.055,1.0
